match_id,date,venue,teams,match_type,toss_winner,toss_decision,winner,player_of_match
1082591,2017-04-05,"Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad, Royal Challengers Bangalore",T20,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Yuvraj Singh
1082592,2017-04-06,Maharashtra Cricket Association Stadium,"Rising Pune Supergiant, Mumbai Indians",T20,Rising Pune Supergiant,field,Rising Pune Supergiant,SPD Smith
1082593,2017-04-07,Saurashtra Cricket Association Stadium,"Gujarat Lions, Kolkata Knight Riders",T20,Kolkata Knight Riders,field,Kolkata Knight Riders,CA Lynn
1082594,2017-04-08,Holkar Cricket Stadium,"Kings XI Punjab, Rising Pune Supergiant",T20,Kings XI Punjab,field,Kings XI Punjab,GJ Maxwell
1082595,2017-04-08,M.Chinnaswamy Stadium,"Royal Challengers Bangalore, Delhi Daredevils",T20,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,KM Jadhav
1082596,2017-04-09,"Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad, Gujarat Lions",T20,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Rashid Khan
1082597,2017-04-09,Wankhede Stadium,"Mumbai Indians, Kolkata Knight Riders",T20,Mumbai Indians,field,Mumbai Indians,N Rana
1082598,2017-04-10,Holkar Cricket Stadium,"Kings XI Punjab, Royal Challengers Bangalore",T20,Royal Challengers Bangalore,bat,Kings XI Punjab,AR Patel
1082599,2017-04-11,Maharashtra Cricket Association Stadium,"Rising Pune Supergiant, Delhi Daredevils",T20,Rising Pune Supergiant,field,Delhi Daredevils,SV Samson
1082600,2017-04-12,Wankhede Stadium,"Mumbai Indians, Sunrisers Hyderabad",T20,Mumbai Indians,field,Mumbai Indians,JJ Bumrah
1082601,2017-04-13,Eden Gardens,"Kolkata Knight Riders, Kings XI Punjab",T20,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine
1082602,2017-04-14,M Chinnaswamy Stadium,"Royal Challengers Bangalore, Mumbai Indians",T20,Mumbai Indians,field,Mumbai Indians,KA Pollard
1082603,2017-04-14,Saurashtra Cricket Association Stadium,"Gujarat Lions, Rising Pune Supergiant",T20,Gujarat Lions,field,Gujarat Lions,AJ Tye
1082604,2017-04-15,Eden Gardens,"Kolkata Knight Riders, Sunrisers Hyderabad",T20,Sunrisers Hyderabad,field,Kolkata Knight Riders,RV Uthappa
1082605,2017-04-15,Feroz Shah Kotla,"Delhi Daredevils, Kings XI Punjab",T20,Delhi Daredevils,bat,Delhi Daredevils,CJ Anderson
1082606,2017-04-16,Wankhede Stadium,"Mumbai Indians, Gujarat Lions",T20,Mumbai Indians,field,Mumbai Indians,N Rana
1082607,2017-04-16,M Chinnaswamy Stadium,"Royal Challengers Bangalore, Rising Pune Supergiant",T20,Royal Challengers Bangalore,field,Rising Pune Supergiant,BA Stokes
1082608,2017-04-17,Feroz Shah Kotla,"Delhi Daredevils, Kolkata Knight Riders",T20,Delhi Daredevils,bat,Kolkata Knight Riders,NM Coulter-Nile
1082609,2017-04-17,"Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad, Kings XI Punjab",T20,Kings XI Punjab,field,Sunrisers Hyderabad,B Kumar
1082610,2017-04-18,Saurashtra Cricket Association Stadium,"Gujarat Lions, Royal Challengers Bangalore",T20,Gujarat Lions,field,Royal Challengers Bangalore,CH Gayle
1082611,2017-04-19,"Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad, Delhi Daredevils",T20,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,KS Williamson
1082612,2017-04-20,Holkar Cricket Stadium,"Kings XI Punjab, Mumbai Indians",T20,Mumbai Indians,field,Mumbai Indians,JC Buttler
1082613,2017-04-21,Eden Gardens,"Kolkata Knight Riders, Gujarat Lions",T20,Gujarat Lions,field,Gujarat Lions,SK Raina
1082614,2017-04-22,Wankhede Stadium,"Mumbai Indians, Delhi Daredevils",T20,Delhi Daredevils,field,Mumbai Indians,MJ McClenaghan
1082615,2017-04-22,Maharashtra Cricket Association Stadium,"Rising Pune Supergiant, Sunrisers Hyderabad",T20,Rising Pune Supergiant,field,Rising Pune Supergiant,MS Dhoni
1082616,2017-04-23,Saurashtra Cricket Association Stadium,"Gujarat Lions, Kings XI Punjab",T20,Gujarat Lions,field,Kings XI Punjab,HM Amla
1082617,2017-04-23,Eden Gardens,"Kolkata Knight Riders, Royal Challengers Bangalore",T20,Royal Challengers Bangalore,field,Kolkata Knight Riders,NM Coulter-Nile
1082618,2017-04-24,Wankhede Stadium,"Mumbai Indians, Rising Pune Supergiant",T20,Mumbai Indians,field,Rising Pune Supergiant,BA Stokes
1082620,2017-04-26,Maharashtra Cricket Association Stadium,"Rising Pune Supergiant, Kolkata Knight Riders",T20,Kolkata Knight Riders,field,Kolkata Knight Riders,RV Uthappa
1082621,2017-04-27,M Chinnaswamy Stadium,"Royal Challengers Bangalore, Gujarat Lions",T20,Gujarat Lions,field,Gujarat Lions,AJ Tye
1082622,2017-04-28,Eden Gardens,"Kolkata Knight Riders, Delhi Daredevils",T20,Kolkata Knight Riders,field,Kolkata Knight Riders,G Gambhir
1082623,2017-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali","Kings XI Punjab, Sunrisers Hyderabad",T20,Kings XI Punjab,field,Sunrisers Hyderabad,Rashid Khan
1082624,2017-04-29,Maharashtra Cricket Association Stadium,"Rising Pune Supergiant, Royal Challengers Bangalore",T20,Royal Challengers Bangalore,field,Rising Pune Supergiant,LH Ferguson
1082625,2017-04-29,Saurashtra Cricket Association Stadium,"Gujarat Lions, Mumbai Indians",T20,Gujarat Lions,bat,,KH Pandya
1082626,2017-04-30,"Punjab Cricket Association IS Bindra Stadium, Mohali","Kings XI Punjab, Delhi Daredevils",T20,Kings XI Punjab,field,Kings XI Punjab,Sandeep Sharma
1082627,2017-04-30,"Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad, Kolkata Knight Riders",T20,Kolkata Knight Riders,field,Sunrisers Hyderabad,DA Warner
1082628,2017-05-01,Wankhede Stadium,"Mumbai Indians, Royal Challengers Bangalore",T20,Royal Challengers Bangalore,bat,Mumbai Indians,RG Sharma
1082629,2017-05-01,Maharashtra Cricket Association Stadium,"Rising Pune Supergiant, Gujarat Lions",T20,Rising Pune Supergiant,field,Rising Pune Supergiant,BA Stokes
1082630,2017-05-02,Feroz Shah Kotla,"Delhi Daredevils, Sunrisers Hyderabad",T20,Delhi Daredevils,field,Delhi Daredevils,Mohammed Shami
