match_id,date,venue,teams,match_type,toss_winner,toss_decision,winner,player_of_match
1000887,2017-01-13,"Brisbane Cricket Ground, Woolloongabba","Australia, Pakistan",ODI,Australia,bat,Australia,MS Wade
1000889,2017-01-15,Melbourne Cricket Ground,"Australia, Pakistan",ODI,Australia,bat,Pakistan,Mohammad Hafeez
1000891,2017-01-19,Western Australia Cricket Association Ground,"Australia, Pakistan",ODI,Australia,field,Australia,SPD Smith
1000893,2017-01-22,Sydney Cricket Ground,"Australia, Pakistan",ODI,Australia,bat,Australia,DA Warner
1000895,2017-01-26,Adelaide Oval,"Australia, Pakistan",ODI,Australia,bat,Australia,DA Warner
1001371,2016-12-04,Sydney Cricket Ground,"Australia, New Zealand",ODI,Australia,bat,Australia,SPD Smith
1001373,2016-12-06,Manuka Oval,"Australia, New Zealand",ODI,New Zealand,field,Australia,DA Warner
1001375,2016-12-09,Melbourne Cricket Ground,"Australia, New Zealand",ODI,Australia,bat,Australia,DA Warner
1004283,2016-09-08,"Grange Cricket Club Ground, Raeburn Place","Scotland, Hong Kong",ODI,Hong Kong,field,,
1004285,2016-09-10,"Grange Cricket Club Ground, Raeburn Place","Scotland, Hong Kong",ODI,Scotland,bat,Scotland,
1007649,2016-06-11,Harare Sports Club,"Zimbabwe, India",ODI,India,field,India,KL Rahul
1007651,2016-06-13,Harare Sports Club,"Zimbabwe, India",ODI,India,field,India,YS Chahal
1007653,2016-06-15,Harare Sports Club,"Zimbabwe, India",ODI,Zimbabwe,bat,India,KL Rahul
1019973,2016-12-26,Hagley Oval,"New Zealand, Bangladesh",ODI,New Zealand,bat,New Zealand,TWM Latham
1019975,2016-12-29,Saxton Oval,"New Zealand, Bangladesh",ODI,Bangladesh,field,New Zealand,NT Broom
1019977,2016-12-31,Saxton Oval,"New Zealand, Bangladesh",ODI,Bangladesh,bat,New Zealand,KS Williamson
1020013,2017-01-30,Eden Park,"New Zealand, Australia",ODI,Australia,field,New Zealand,MP Stoinis
1020017,2017-02-05,Seddon Park,"New Zealand, Australia",ODI,New Zealand,bat,New Zealand,TA Boult
1020031,2017-02-19,Seddon Park,"New Zealand, South Africa",ODI,South Africa,field,South Africa,Q de Kock
1020033,2017-02-22,Hagley Oval,"New Zealand, South Africa",ODI,South Africa,field,New Zealand,LRPL Taylor
1020035,2017-02-25,Westpac Stadium,"New Zealand, South Africa",ODI,South Africa,bat,South Africa,AB de Villiers
1020037,2017-03-01,Seddon Park,"New Zealand, South Africa",ODI,South Africa,bat,New Zealand,MJ Guptill
1020039,2017-03-04,Eden Park,"New Zealand, South Africa",ODI,South Africa,field,South Africa,K Rabada
1022347,2017-06-01,Kennington Oval,"England, Bangladesh",ODI,England,field,England,JE Root
1022349,2017-06-02,Edgbaston,"Australia, New Zealand",ODI,New Zealand,bat,,
1022351,2017-06-03,Kennington Oval,"South Africa, Sri Lanka",ODI,Sri Lanka,field,South Africa,Imran Tahir
1022353,2017-06-04,Edgbaston,"India, Pakistan",ODI,Pakistan,field,India,Yuvraj Singh
1022355,2017-06-05,Kennington Oval,"Australia, Bangladesh",ODI,Bangladesh,bat,,
1022357,2017-06-06,Sophia Gardens,"England, New Zealand",ODI,New Zealand,field,England,JT Ball
1022359,2017-06-07,Edgbaston,"Pakistan, South Africa",ODI,South Africa,bat,Pakistan,Hasan Ali
1022361,2017-06-08,Kennington Oval,"India, Sri Lanka",ODI,Sri Lanka,field,Sri Lanka,BKG Mendis
1022363,2017-06-09,Sophia Gardens,"Bangladesh, New Zealand",ODI,New Zealand,bat,Bangladesh,Shakib Al Hasan
