match_id,date,venue,teams,match_type,toss_winner,toss_decision,winner,player_of_match
1001349,2017-02-17,Melbourne Cricket Ground,"Australia, Sri Lanka",T20,Sri Lanka,field,Sri Lanka,DAS Gunaratne
1001351,2017-02-19,"Simonds Stadium, South Geelong","Australia, Sri Lanka",T20,Sri Lanka,field,Sri Lanka,DAS Gunaratne
1001353,2017-02-22,Adelaide Oval,"Australia, Sri Lanka",T20,Sri Lanka,field,Australia,A Zampa
1004729,2016-09-05,"Bready Cricket Club, Magheramason","Ireland, Hong Kong",T20,Hong Kong,bat,Hong Kong,
1007655,2016-06-18,Harare Sports Club,"Zimbabwe, India",T20,India,field,Zimbabwe,E Chigumbura
1007657,2016-06-20,Harare Sports Club,"Zimbabwe, India",T20,Zimbabwe,bat,India,BB Sran
1007659,2016-06-22,Harare Sports Club,"Zimbabwe, India",T20,Zimbabwe,field,India,KM Jadhav
1019979,2017-01-03,McLean Park,"New Zealand, Bangladesh",T20,Bangladesh,bat,New Zealand,KS Williamson
1019981,2017-01-06,Bay Oval,"New Zealand, Bangladesh",T20,Bangladesh,field,New Zealand,C Munro
1019983,2017-01-08,Bay Oval,"New Zealand, Bangladesh",T20,Bangladesh,field,New Zealand,CJ Anderson
1020029,2017-02-17,Eden Park,"New Zealand, South Africa",T20,New Zealand,field,South Africa,Imran Tahir
1031431,2017-06-21,The Rose Bowl,"England, South Africa",T20,South Africa,bat,England,JM Bairstow
1031433,2017-06-23,County Ground,"England, South Africa",T20,England,field,South Africa,CH Morris
1031435,2017-06-25,Sophia Gardens,"England, South Africa",T20,South Africa,field,England,DJ Malan
1031665,2017-09-16,Riverside Ground,"West Indies, England",T20,England,field,West Indies,SP Narine
1034825,2017-01-26,Green Park,"India, England",T20,England,field,England,MM Ali
1034827,2017-01-29,"Vidarbha Cricket Association Stadium, Jamtha","India, England",T20,England,field,India,JJ Bumrah
1034829,2017-02-01,M Chinnaswamy Stadium,"India, England",T20,England,field,India,YS Chahal
1041615,2016-08-27,Central Broward Regional Park Stadium Turf Ground,"India, West Indies",T20,India,field,West Indies,E Lewis
1041617,2016-08-28,Central Broward Regional Park Stadium Turf Ground,"India, West Indies",T20,India,field,,
1043989,2017-02-17,Melbourne Cricket Ground,"Australia, New Zealand",T20,New Zealand,field,Australia,EJ Villani
1043991,2017-02-19,"Simonds Stadium, South Geelong","Australia, New Zealand",T20,Australia,field,New Zealand,AM Peterson
1043993,2017-02-22,Adelaide Oval,"Australia, New Zealand",T20,New Zealand,bat,New Zealand,SW Bates
1044211,2016-09-27,Sinhalese Sports Club Ground,"Sri Lanka, Australia",T20,Australia,field,Australia,KM Beams
1050217,2016-09-23,Dubai International Cricket Stadium,"Pakistan, West Indies",T20,Pakistan,field,Pakistan,Imad Wasim
1050219,2016-09-24,Dubai International Cricket Stadium,"Pakistan, West Indies",T20,West Indies,field,Pakistan,Sarfraz Ahmed
